course_name,town,state,platform,booking_url,login_required_to_view,booking_window_days,url_changes_by_date,example_dated_url,prices_visible,nine_and_eighteen_separate,notes
Four Oaks Country Club,Dracut,MA,Club Prophet (cps.golf),https://fouroaks.cps.golf/onlineresweb/search-teetime,unknown,unknown,unknown,,unknown,Yes,"BLOCKED: Cloudflare bot challenge (""Just a moment..."") never cleared on automated load; not bypassed. Tenant is the subdomain 'fouroaks' - no numeric facility ID in the public URL. Public course. Rates page public: 18 $56 wkday/$66 wknd, 9 $29/$34. Only params seen: TeeOffTimeMin/TeeOffTimeMax."
Trull Brook Golf Course,Tewksbury,MA,Club Caddie (clubcaddie.com),https://customer-cc29.clubcaddie.com/customer-login?clubid=103406,Yes,unknown,unknown,,No,unknown,"CONFIRMED HARD LOGIN WALL - portal shows only 'SIGN IN TO CUSTOMER PORTAL' with no tee sheet. clubid=103406, shard cc29. API host apimanager-cc29.clubcaddie.com. Not on the platform key - recorded verbatim. Unusable without credentials."
The Course @ Tree House,Tewksbury,MA,TeeWire,https://teewire.app/treehouse/index.php?controller=FrontV2&action=load&cid=1,No,unknown (only a 3-day strip rendered),Yes (via JSON API),https://teewire.app/treehouse/online/application/web/api/golf-api.php?action=tee-times&calendar_id=1&date=2026-09-08&starting_tee=1,Yes,Yes,"CLEAN JSON API - unauthenticated, date-parameterized. 'An account is required to book online' is a BOOKING gate only; times/prices/holes all render logged out. cid=1 / calendar_id=1. Run by Tree House Brewing. Temporary $20 recovery rate after heat-wave turf damage."
Hickory Hill Golf Course,Methuen,MA,foreUP,https://foreupsoftware.com/index.php/booking/19557/1829#/teetimes,No,6 online / 7 by phone,Yes (via JSON API),https://foreupsoftware.com/index.php/api/booking/times?time=all&date=09-08-2026&holes=all&players=0&booking_class=1443&schedule_id=1829&schedule_ids%5B%5D=1829&specials_only=0&api_key=,Yes,Yes,"BEST-CASE TARGET. Unauthenticated JSON with empty api_key. Returns available_spots_9/_18, green_fee_9/_18, cart_fee_9/_18, teesheet_side_name (Front/Back). course_id 19557, schedule_id 1829, booking_class 1443. Interstitial announcement modal must be dismissed in a browser but does not affect the API."
Merrimack Valley Golf Club,Methuen,MA,TeeOff / EZLinks (TeeItUp),https://merrimack-valley-golf-club.book.teeitup.com,No,unknown,Yes,https://merrimack-valley-golf-club.book.teeitup.com/?date=2026-09-12,Yes,Yes,"Login/price/date behavior verified on sibling TeeItUp tenants, not on this exact one. Also on GolfNow/TeeOff as facility 16619, course detail 1031155. Public course."
Mount Pleasant Golf Club,Lowell,MA,Phone only,,N/A,N/A,N/A,,No,N/A,"PRIVATE - site states plainly it is a nine-hole private club (est. 1910). No public online booking exists at all. Members area only. Pro shop (978) 452-8228. Drop from scraping targets."
Swanson Meadows Golf Course,N. Billerica,MA,TeeWire,https://teewire.app/swansonmeadows/index.php?controller=FrontV2&action=load&cid=1,No,unknown,Yes (via JSON API),https://teewire.app/swansonmeadows/online/application/web/api/golf-api.php?action=tee-times&calendar_id=1&date=2026-09-08&starting_tee=1,Yes,Yes,"Same TeeWire engine as Tree House - API path pattern verified on the Tree House tenant and assumed identical here (tenant slug swansonmeadows, cid=1). 9-hole executive course. $30 18 holes cart incl."
Country Club of Billerica,Billerica,MA,Chronogolf (Lightspeed),https://www.chronogolf.com/club/country-club-of-billerica,No,4,Yes,https://www.chronogolf.com/club/country-club-of-billerica?date=2026-09-12,Yes,Yes,"Booking window of 4 days is the shortest of any bookable course here and is stated on the club's own site. Course homepage has no direct booking href - widget is embedded at the bottom of /tee-times-rates/. Chronogolf uses slug URLs, no numeric club ID in HTML."
Chelmsford Country Club,Chelmsford,MA,TeeItUp (teeitup.golf),https://chelmsford-country-club.book.teeitup.golf/,No,unknown,Yes,https://chelmsford-country-club.book.teeitup.golf/?date=2026-09-12,Yes,unknown,"NOTE THE TLD: .teeitup.golf, not .teeitup.com - two different TLDs appear across this course set and may not share an API. Club's own domain returns HTTP 403 to non-browser fetches (bot block). Also GolfNow/TeeOff facility 5723, course detail 1031270. Public play confirmed."
Nabnasset Lake Country Club,Westford,MA,foreUP,https://foreupsoftware.com/index.php/booking/21549#/login,Yes,N/A (members only),N/A,,No,unknown,"PRIVATE - members only. Site states 'Private Golf Course' and links a member log-in. foreUP facility ID 21549 is captured but the tee sheet is behind member auth. No public booking. Drop from scraping targets unless you hold a membership."
Butter Brook Golf Club,Westford,MA,Club Prophet (cps.golf),https://butterbrook.cps.golf/onlineresweb/search-teetime,unknown,unknown,unknown,,unknown,No (18 + cart mandatory Fri-Sun; open play from 2pm),"Same Cloudflare exposure as the other cps.golf tenants. Subdomain-keyed ('butterbrook'), no numeric ID. Rates at butterbrookgc.com/golf/course-rates. 'All No Shows Will Be Charged.' Max 2 carts per foursome."
Quail Ridge Country Club,Acton,MA,TeeItUp (teeitup.com),https://quailridge-country-club.book.teeitup.com/,No,unknown,Yes,https://quailridge-country-club.book.teeitup.com/?date=2026-09-12,Yes,Yes,"Public-access despite the 'Country Club' name - green fees publicly listed (9: $31-$50, 18: $52-$89). play.teeitup.com 302-redirects to book.teeitup.com; record the book. host."
Crystal Lake Golf Club,Haverhill,MA,TeeItUp (teeitup.com),https://crystal-lake-golf.book.teeitup.com/,No,unknown,Yes,https://crystal-lake-golf.book.teeitup.com/?date=2026-09-12,Yes,No (only 18-hole slots listed),"IDENTITY CONFIRMED in-browser: page carries pro shop 978-377-0655 (Haverhill) and the name 'Crystal Lake Golf Club'. 53 tee times rendered for 2026-09-12 with no login. GolfNow/TeeOff facility 13676. Course's own site 403s non-browser fetches. Login is requested at booking for self-service cancellation, not to view."
Passaconaway Country Club,Litchfield,NH,foreUP,https://foreupsoftware.com/index.php/booking/20363/4577#/teetimes,No,unknown,Yes (via JSON API),https://foreupsoftware.com/index.php/api/booking/times?time=all&date=09-08-2026&holes=all&players=0&schedule_id=4577&schedule_ids%5B%5D=4577&specials_only=0&api_key=,Yes,Yes,"Facility 20363, schedule 4577 - confirmed from the club's own site and its foreUP gift-card link. Behavior fields inferred from the verified foreUP engine, not separately loaded. booking_class per-course still needs one lookup."
Hidden Creek Golf Course,Litchfield,NH,foreUP,https://foreupsoftware.com/index.php/booking/20454/4585#/teetimes,No,unknown,Yes (via JSON API),https://foreupsoftware.com/index.php/api/booking/times?time=all&date=09-08-2026&holes=all&players=0&schedule_id=4585&schedule_ids%5B%5D=4585&specials_only=0&api_key=,Yes,Yes,"Facility 20454, schedule 4585. Also appears on the Chronogolf marketplace as 'Hidden Creek Country Club' - that is an aggregator listing, NOT their booking engine. Use foreUP."
Whip Poor Will Golf Club,Hudson,NH,Chronogolf (Lightspeed),https://www.chronogolf.com/club/whip-poor-will-golf-course,No,unknown,Yes,https://www.chronogolf.com/club/whip-poor-will-golf-course?date=2026-09-12,Yes,N/A - 9-hole course only,"VERIFIED IN BROWSER: dated URL renders availability server-side (8 slots from $36 for 2026-09-12), no login, no XHR. Same-day query returned 'No tee times found' - late in the day, not a fault. Homepage book button is href='#' (JS modal)."
Overlook Golf Club,Hollis,NH,Chronogolf (Lightspeed),https://www.chronogolf.com/club/overlook-golf-club,No,unknown,Yes,https://www.chronogolf.com/club/overlook-golf-club?date=2026-09-12,Yes,Yes,"TWO LIVE SYSTEMS - legacy overlookgolfclub.teesnap.net still resolves and shows 'Tee times are currently unavailable due to maintenance' (Teesnap v5.60.0). The club links members.chronogolf.com, so Chronogolf is live and TeeSnap is stale. A duplicate Chronogolf record may exist at /club/the-overlook-golf-club. Rates: 18 $42 walk/$65 ride twilight; 9 $34/$52."
Souhegan Woods Golf Club,Amherst,NH,Chronogolf (Lightspeed),https://www.chronogolf.com/club/souhegan-woods-golf-club,No,unknown,Yes,https://www.chronogolf.com/club/souhegan-woods-golf-club?date=2026-09-12,Yes,unknown,"18-hole course. Homepage book button is href='#' (JS modal), and souheganwoods.com/tee-times/ is a 404 - platform identified via the Chronogolf club page, not an on-site link."
